throttle,velocity,acceleration
0.30,0.027828,0.000000
0.30,0.021349,0.000000
0.30,0.016277,0.000000
0.30,0.012346,0.000000
0.30,0.009321,-0.092533
0.30,0.007009,-0.071697
0.30,0.005251,-0.055126
0.30,0.003922,-0.042118
0.30,0.001132,-0.040946
0.30,0.001543,-0.027333
0.30,0.001618,-0.018166
0.30,0.001519,-0.012017
0.30,0.001337,0.001026
0.30,0.001133,-0.002050
0.30,0.000935,-0.003417
0.30,0.000755,-0.003819
0.30,0.000161,-0.005880
0.30,0.000292,-0.004206
0.30,0.000333,-0.003007
0.30,0.000324,-0.002153
0.30,0.000291,0.000650
0.30,0.000252,-0.000198
0.30,0.000210,-0.000617
0.30,0.000171,-0.000766
0.30,0.000000,-0.001455
0.30,0.000054,-0.000992
0.30,0.183164,0.914772
0.30,0.483403,2.416159
0.30,0.690223,3.451117
0.30,0.686277,3.431118
0.30,0.681110,2.489730
0.30,0.688806,1.027013
0.30,0.709723,0.097496
0.30,0.743031,0.283770
0.30,0.752413,0.356511
0.30,0.761637,0.364157
0.30,0.759215,0.247460
0.30,0.768627,0.127979
0.30,0.766674,0.071307
0.30,0.775594,0.069783
0.30,0.770719,0.057523
0.30,0.774290,0.028313
0.30,0.767399,0.003624
0.30,0.768955,-0.033193
0.30,0.765612,-0.025537
0.30,0.766762,-0.037641
0.30,0.765126,-0.011364
0.30,0.774988,0.030166
0.30,0.773876,0.041320
0.30,0.778183,0.057105
0.30,0.776189,0.055316
0.30,0.783236,0.041237
0.30,0.784820,0.054722
0.30,0.788403,0.051100
0.30,0.786767,0.052889
0.30,0.797903,0.073339
0.30,0.796760,0.059697
0.30,0.802745,0.071712
0.30,0.804255,0.087442
0.30,0.807178,0.046372
0.30,0.808993,0.061164
0.30,0.815737,0.064961
0.30,0.813357,0.045508
0.30,0.822253,0.075376
0.30,0.820583,0.057952
0.30,0.827672,0.059674
0.30,0.827072,0.068573
0.30,0.832151,0.049489
0.30,0.832742,0.060792
0.30,0.837014,0.046709
0.30,0.837861,0.053946
0.30,0.842305,0.050771
0.30,0.842710,0.049842
0.30,0.847601,0.052939
0.30,0.847556,0.048475
0.30,0.852747,0.052209
0.30,0.852516,0.049032
0.30,0.857827,0.051128
0.30,0.857560,0.050019
0.30,0.862844,0.050487
0.30,0.862451,0.049673
0.30,0.867546,0.048592
0.30,0.867011,0.047259
0.30,0.871944,0.045502
0.30,0.871322,0.044353
0.30,0.876133,0.042939
0.30,0.875432,0.042106
0.30,0.880115,0.040852
0.30,0.879334,0.040060
0.30,0.883911,0.038887
0.30,0.883052,0.038098
0.30,0.887517,0.037013
0.30,0.886589,0.036278
0.30,0.890936,0.035125
0.30,0.889910,0.034291
0.30,0.894139,0.033106
0.30,0.893015,0.032131
0.30,0.897130,0.030972
0.30,0.895900,0.029951
0.30,0.899911,0.028863
0.30,0.898591,0.027879
0.30,0.902503,0.026862
0.30,0.901107,0.026032
0.30,0.904932,0.025105
0.30,0.903455,0.024320
0.30,0.907205,0.023510
0.30,0.905664,0.022784
0.30,0.909344,0.022058
0.30,0.907744,0.021445
0.30,0.911363,0.020790
0.30,0.909718,0.020270
0.30,0.913284,0.019701
0.30,0.911584,0.019198
