s,x,y,yaw,kappa,speed
0.0,105.12,170.06,-0.005692,0.0,3.0
0.5,105.62,170.06,-0.005692,0.0,3.0
1.0,106.12,170.05,-0.005692,0.0,3.0
1.5,106.62,170.05,-0.005692,0.0,3.0
2.0,107.12,170.05,-0.005692,0.0,3.0
2.5,107.62,170.04,-0.005692,0.0,3.0
3.0,108.12,170.04,-0.005692,0.0,3.0
3.5,108.62,170.04,-0.005692,0.0,3.0
4.0,109.12,170.04,-0.005692,0.0,3.0
4.5,109.62,170.03,-0.005692,0.0,3.0
5.0,110.12,170.03,-0.005692,0.0,3.0
5.5,110.62,170.03,-0.005692,0.0,3.0
6.0,111.12,170.02,-0.005692,0.0,3.0
6.5,111.62,170.02,-0.005692,0.0,3.0
7.0,112.12,170.02,-0.005692,0.0,3.0
7.5,112.62,170.02,-0.005692,0.0,3.0
8.0,113.12,170.01,-0.005692,0.0,3.0
8.5,113.62,170.01,-0.005692,0.0,3.0
9.0,114.12,170.01,-0.005692,0.0,3.0
9.5,114.62,170.0,-0.005692,0.0,3.0
10.0,115.12,170.0,-0.005692,0.0,3.0
10.5,115.62,170.0,-0.005692,0.0,3.0
11.0,116.12,170.0,-0.005692,0.0,3.0
11.5,116.62,169.99,-0.005692,0.0,3.0
12.0,117.12,169.99,-0.005692,0.0,3.0
12.5,117.62,169.99,-0.005692,0.0,3.0
13.31,118.43,169.98,-0.005692,-0.0,3.0
13.81,118.93,169.98,-0.005692,0.0,3.0
14.31,119.43,169.98,-0.005692,0.0,3.0
14.81,119.93,169.97,-0.005692,0.0,3.0
15.31,120.43,169.97,-0.005692,0.0,3.0
15.81,120.93,169.97,-0.005692,0.0,3.0
16.31,121.43,169.97,-0.005692,0.0,3.0
16.81,121.93,169.96,-0.005692,0.0,3.0
17.31,122.43,169.96,-0.005692,0.0,3.0
17.81,122.93,169.96,-0.005692,0.0,3.0
18.31,123.43,169.95,-0.005692,0.0,3.0
18.81,123.93,169.95,-0.005692,0.0,3.0
19.31,124.43,169.95,-0.005692,0.0,3.0
19.81,124.93,169.95,-0.005692,0.0,3.0
20.31,125.43,169.94,-0.005692,0.0,3.0
20.81,125.93,169.94,-0.005692,0.0,3.0
21.31,126.43,169.94,-0.005692,0.0,3.0
21.81,126.93,169.93,-0.005692,0.0,3.0
22.31,127.43,169.93,-0.005692,0.0,3.0
22.81,127.93,169.93,-0.005692,0.0,3.0
23.31,128.43,169.93,-0.005692,0.0,3.0
23.81,128.93,169.92,-0.005692,0.0,3.0
24.31,129.43,169.92,-0.005692,0.0,3.0
24.81,129.93,169.92,-0.005692,0.0,3.0
25.31,130.43,169.91,-0.005692,0.0,3.0
25.81,130.93,169.91,-0.005692,0.0,3.0
26.31,131.43,169.91,-0.005692,0.0,3.0
26.81,131.93,169.91,-0.005692,0.0,3.0
27.31,132.43,169.9,-0.005692,0.0,3.0
27.81,132.93,169.9,-0.005692,0.0,3.0
28.31,133.43,169.9,-0.005692,0.0,3.0
28.81,133.93,169.89,-0.005692,0.0,3.0
29.31,134.43,169.89,-0.005692,0.0,3.0
29.81,134.93,169.89,-0.005692,0.0,3.0
30.31,135.43,169.89,-0.005692,0.0,3.0
30.81,135.93,169.88,-0.005692,0.0,3.0
31.31,136.43,169.88,-0.005692,0.0,3.0
31.81,136.93,169.88,-0.005692,0.0,3.0
32.31,137.43,169.87,-0.005692,0.0,3.0
32.81,137.93,169.87,-0.005692,0.0,3.0
33.31,138.43,169.87,-0.005692,0.0,3.0
33.81,138.93,169.87,-0.005692,0.0,3.0
34.31,139.43,169.86,-0.005692,0.0,3.0
34.81,139.93,169.86,-0.005692,0.0,3.0
35.31,140.43,169.86,-0.005692,0.0,3.0
36.19,141.31,169.85,-0.005692,0.0,3.0
36.69,141.81,169.85,-0.005692,0.0,3.0
37.19,142.31,169.85,-0.005692,0.0,3.0
37.69,142.81,169.84,-0.005692,0.0,3.0
38.19,143.31,169.84,-0.005692,0.0,3.0
38.69,143.81,169.84,-0.005692,0.0,3.0
39.19,144.31,169.84,-0.005692,0.0,3.0
39.69,144.81,169.83,-0.005692,0.0,3.0
40.19,145.31,169.83,-0.005692,0.0,3.0
40.69,145.81,169.83,-0.005692,0.0,3.0
41.19,146.31,169.82,-0.005692,0.0,3.0
41.69,146.81,169.82,-0.005692,0.0,3.0
42.19,147.31,169.82,-0.005692,0.0,3.0
42.69,147.81,169.82,-0.005692,0.0,3.0
43.19,148.31,169.81,-0.005692,0.0,3.0
43.69,148.81,169.81,-0.005692,0.0,3.0
44.19,149.31,169.81,-0.005692,0.0,3.0
44.69,149.81,169.8,-0.005692,0.0,3.0
45.19,150.31,169.8,-0.005692,0.0,3.0
45.69,150.81,169.8,-0.005692,0.0,3.0
46.19,151.31,169.8,-0.005692,0.0,3.0
46.69,151.81,169.79,-0.005692,0.0,3.0
47.19,152.31,169.79,-0.005692,0.0,3.0
