s,x,y,yaw,kappa,speed
0.0,15.0,112.2,1.574721,0.0,3.0
0.5,15.0,112.7,1.574721,0.0,3.0
1.0,14.99,113.2,1.574721,0.0,3.0
1.5,14.99,113.7,1.574721,0.0,3.0
2.0,14.99,114.2,1.574721,0.0,3.0
2.5,14.99,114.7,1.574721,0.0,3.0
3.0,14.99,115.2,1.574721,0.0,3.0
3.5,14.98,115.7,1.574721,0.0,3.0
4.0,14.98,116.2,1.574721,0.0,3.0
4.5,14.98,116.7,1.574721,0.0,3.0
5.0,14.98,117.2,1.574721,0.0,3.0
5.5,14.98,117.7,1.574721,0.0,3.0
6.0,14.97,118.2,1.574721,0.0,3.0
6.5,14.97,118.7,1.574721,0.0,3.0
7.0,14.97,119.2,1.574721,0.0,3.0
7.5,14.97,119.7,1.574721,0.0,3.0
8.0,14.97,120.2,1.574721,0.0,3.0
8.5,14.96,120.7,1.574721,0.0,3.0
9.0,14.96,121.2,1.574721,0.0,3.0
9.5,14.96,121.7,1.574721,0.0,3.0
10.0,14.96,122.2,1.574721,0.0,3.0
10.5,14.96,122.7,1.574721,0.0,3.0
11.0,14.96,123.2,1.574721,0.0,3.0
11.5,14.95,123.7,1.574721,0.0,3.0
12.0,14.95,124.2,1.574721,0.0,3.0
12.5,14.95,124.7,1.574721,0.0,3.0
13.0,14.95,125.2,1.574721,0.0,3.0
13.5,14.95,125.7,1.574721,0.0,3.0
14.0,14.94,126.2,1.574721,0.0,3.0
14.5,14.94,126.7,1.574721,0.0,3.0
15.0,14.94,127.2,1.574721,0.0,3.0
15.5,14.94,127.7,1.574721,0.0,3.0
16.0,14.94,128.2,1.574721,0.0,3.0
16.5,14.93,128.7,1.574721,0.0,3.0
17.0,14.93,129.2,1.574721,0.0,3.0
17.5,14.93,129.7,1.574721,0.0,3.0
18.0,14.93,130.2,1.574721,0.0,3.0
18.5,14.93,130.7,1.574721,0.0,3.0
19.0,14.92,131.2,1.574721,0.0,3.0
19.5,14.92,131.7,1.574721,0.0,3.0
20.0,14.92,132.2,1.574721,0.0,3.0
20.5,14.92,132.7,1.574721,0.0,3.0
21.0,14.92,133.2,1.574721,0.0,3.0
21.5,14.91,133.7,1.574721,0.0,3.0
22.0,14.91,134.2,1.574721,0.0,3.0
22.5,14.91,134.7,1.574721,0.0,3.0
23.0,14.91,135.2,1.574721,0.0,3.0
23.5,14.91,135.7,1.574721,0.0,3.0
24.0,14.9,136.2,1.574721,0.0,3.0
24.5,14.9,136.7,1.574721,0.0,3.0
25.0,14.9,137.2,1.574721,0.0,3.0
25.5,14.9,137.7,1.574721,0.0,3.0
26.0,14.9,138.2,1.574721,0.0,3.0
26.5,14.89,138.7,1.574721,0.0,3.0
27.0,14.89,139.2,1.574721,0.0,3.0
27.5,14.89,139.7,1.574721,0.0,3.0
28.0,14.89,140.2,1.574721,0.0,3.0
28.5,14.89,140.7,1.574721,0.0,3.0
29.0,14.88,141.2,1.574721,0.0,3.0
29.5,14.88,141.7,1.574721,0.0,3.0
30.0,14.88,142.2,1.574721,0.0,3.0
30.5,14.88,142.7,1.574721,0.0,3.0
31.0,14.88,143.2,1.574721,0.0,3.0
31.5,14.87,143.7,1.574721,0.0,3.0
32.0,14.87,144.2,1.574721,0.0,3.0
32.5,14.87,144.7,1.574721,0.0,3.0
33.0,14.87,145.2,1.574721,0.0,3.0
33.5,14.87,145.7,1.574721,0.0,3.0
34.0,14.86,146.2,1.574721,0.0,3.0
34.5,14.86,146.7,1.574721,0.0,3.0
35.0,14.86,147.2,1.574721,0.0,3.0
35.5,14.86,147.7,1.574721,0.0,3.0
36.0,14.86,148.2,1.574721,0.0,3.0
36.5,14.85,148.7,1.574721,0.0,3.0
37.0,14.85,149.2,1.574721,0.0,3.0
37.5,14.85,149.7,1.574721,0.0,3.0
38.0,14.85,150.2,1.574721,0.0,3.0
38.5,14.85,150.7,1.574721,0.0,3.0
39.0,14.85,151.2,1.574721,0.0,3.0
39.5,14.84,151.7,1.574721,0.0,3.0
40.0,14.84,152.2,1.574721,0.0,3.0
40.5,14.84,152.7,1.574721,0.0,3.0
41.0,14.84,153.2,1.574721,0.0,3.0
41.5,14.84,153.7,1.574721,0.0,3.0
42.0,14.83,154.2,1.574721,0.0,3.0
42.5,14.83,154.7,1.574721,0.0,3.0
43.0,14.83,155.2,1.574721,0.0,3.0
43.5,14.83,155.7,1.574721,0.0,3.0
44.0,14.83,156.2,1.574721,0.0,3.0
44.5,14.82,156.7,1.574721,0.0,3.0
45.0,14.82,157.2,1.574721,0.0,3.0
45.5,14.82,157.7,1.574721,0.0,2.0
46.0,14.82,158.2,1.574721,0.0,2.0
46.5,14.82,158.7,1.574721,0.0,2.0
47.0,14.81,159.2,1.574721,0.0,2.0
47.5,14.81,159.7,1.574721,0.0,2.0
48.0,14.81,160.2,1.574721,0.0,2.0
48.5,14.81,160.7,1.574721,0.0,2.0
49.03,14.81,161.23,1.574721,0.0,2.0
49.53,14.8,161.73,1.574721,0.0,2.0
50.03,14.8,162.23,1.574721,0.0,2.0
50.53,14.8,162.73,1.574721,0.0,2.0
51.03,14.8,163.23,1.574721,0.0,2.0
51.53,14.8,163.73,1.574721,0.0,2.0
52.03,14.79,164.23,1.574721,0.0,2.0
52.53,14.79,164.73,1.574721,0.0,2.0
53.031,14.79,165.23,1.574721,0.0,2.0
53.531,14.79,165.73,1.574721,0.0,2.0
54.031,14.79,166.23,1.574721,0.0,2.0
54.496,14.78,166.69,1.554946,-0.042491,2.0
54.82,14.81,167.02,1.454475,-0.310056,2.0
55.144,14.86,167.34,1.354005,-0.310047,2.0
55.468,14.95,167.65,1.253535,-0.310063,2.0
55.792,15.06,167.95,1.153065,-0.310047,2.0
56.117,15.21,168.24,1.052594,-0.310058,2.0
56.441,15.38,168.51,0.952124,-0.31005,2.0
56.765,15.58,168.77,0.851653,-0.310066,2.0
57.089,15.81,169.0,0.751183,-0.310044,2.0
57.413,16.06,169.21,0.650713,-0.310057,2.0
57.773,16.35,169.41,0.570746,-0.22217,2.0
58.209,16.72,169.64,0.53423,-0.083744,2.0
58.602,17.07,169.83,0.473193,-0.155258,2.0
58.995,17.42,170.0,0.412157,-0.155259,2.0
59.388,17.79,170.15,0.351121,-0.15526,2.0
59.781,18.16,170.27,0.290085,-0.155257,2.0
