s,x,y,yaw,kappa,speed
0.0,199.99,230.6,-1.593737,0.0,3.0
0.5,199.98,230.1,-1.593737,0.0,3.0
1.0,199.97,229.6,-1.593737,0.0,3.0
1.5,199.95,229.1,-1.593737,0.0,3.0
2.0,199.94,228.6,-1.593737,0.0,3.0
2.5,199.93,228.1,-1.593737,0.0,3.0
3.0,199.92,227.6,-1.593737,0.0,3.0
3.5,199.91,227.1,-1.593737,0.0,3.0
4.0,199.9,226.6,-1.593737,0.0,3.0
4.5,199.89,226.1,-1.593737,0.0,3.0
5.0,199.87,225.6,-1.593737,0.0,3.0
5.5,199.86,225.1,-1.593737,0.0,3.0
6.0,199.85,224.6,-1.593737,0.0,3.0
6.5,199.84,224.1,-1.593737,0.0,3.0
7.0,199.83,223.6,-1.593737,0.0,3.0
7.5,199.82,223.1,-1.593737,0.0,3.0
8.0,199.8,222.6,-1.593737,0.0,3.0
8.5,199.79,222.1,-1.593737,0.0,3.0
9.0,199.78,221.6,-1.593737,0.0,3.0
9.5,199.77,221.1,-1.593737,0.0,3.0
10.0,199.76,220.6,-1.593737,0.0,3.0
10.5,199.75,220.1,-1.593737,0.0,3.0
11.0,199.74,219.6,-1.593737,0.0,3.0
11.5,199.72,219.1,-1.593737,0.0,3.0
12.0,199.71,218.6,-1.593737,0.0,3.0
12.5,199.7,218.1,-1.593737,0.0,3.0
13.0,199.69,217.6,-1.593737,0.0,3.0
13.5,199.68,217.1,-1.593737,0.0,3.0
14.0,199.67,216.6,-1.593737,0.0,3.0
14.5,199.66,216.1,-1.593737,0.0,3.0
15.0,199.64,215.6,-1.593737,0.0,3.0
15.5,199.63,215.1,-1.593737,0.0,3.0
16.0,199.62,214.6,-1.593737,0.0,3.0
16.5,199.61,214.1,-1.593737,0.0,3.0
17.0,199.6,213.6,-1.593737,0.0,3.0
17.5,199.59,213.1,-1.593737,0.0,3.0
18.0,199.58,212.6,-1.593737,0.0,3.0
18.5,199.56,212.1,-1.593737,0.0,3.0
19.0,199.55,211.6,-1.593737,0.0,3.0
19.5,199.54,211.1,-1.593737,0.0,3.0
20.0,199.53,210.6,-1.593737,0.0,3.0
20.5,199.52,210.1,-1.593737,0.0,3.0
21.0,199.51,209.6,-1.593737,0.0,3.0
21.5,199.5,209.1,-1.593737,0.0,3.0
